Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78371,2011,1,25.9,14.6,19.7,80.0,42.4
78371,2011,2,26.1,13.9,19.5,78.0,61.2
78371,2011,3,25.6,13.9,19.4,79.0,43.5
78371,2011,4,28.1,15.1,21.6,75.0,14.7
78371,2011,5,27.7,15.5,21.8,77.0,144.3
78371,2011,6,28.6,18.6,23.6,80.0,293.9
78371,2011,7,29.1,18.8,23.8,81.0,237.1
78371,2011,8,29.2,19.3,23.9,81.0,198.9
78371,2011,9,29.2,18.5,23.6,81.0,281.3
78371,2011,10,27.4,18.5,22.9,85.0,191.3
78371,2011,11,26.1,16.3,21.5,82.0,10.2
78371,2011,12,24.9,15.6,20.3,81.0,101.8
