Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78346,2013,1,29.6,19.4,24.0,77.0,20.9
78346,2013,2,30.3,18.1,24.3,69.0,1.5
78346,2013,3,29.5,15.5,23.6,64.0,24.5
78346,2013,4,32.6,21.1,26.9,69.0,67.9
78346,2013,5,32.2,20.9,26.2,75.0,186.1
78346,2013,6,32.5,22.4,27.4,76.0,59.2
78346,2013,7,32.3,22.7,27.4,77.0,164.5
78346,2013,8,33.2,23.1,27.6,77.0,185.0
78346,2013,9,32.4,22.5,27.0,81.0,293.4
78346,2013,10,32.3,22.4,27.0,81.0,192.9
78346,2013,11,30.1,21.9,25.8,80.0,20.8
78346,2013,12,30.1,20.5,24.9,75.0,11.4
