Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78371,2017,1,24.5,13.9,18.9,79.0,85.8
78371,2017,2,26.0,14.3,19.9,78.0,7.2
78371,2017,3,24.3,14.7,19.3,82.0,35.6
78371,2017,4,26.5,16.3,20.9,81.0,64.1
78371,2017,5,27.0,16.8,21.7,82.0,222.9
78371,2017,6,28.6,18.8,23.1,82.0,287.7
78371,2017,7,29.3,18.6,23.2,82.0,155.4
78371,2017,8,30.0,18.7,23.7,82.0,137.8
78371,2017,9,28.3,19.4,23.2,86.0,434.8
78371,2017,10,27.3,19.2,22.6,87.0,85.8
78371,2017,11,25.7,18.4,21.5,88.0,78.9
78371,2017,12,24.4,16.3,20.2,87.0,170.6
