Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78343,1998,1,26.7,17.3,21.7,82.0,100.0
78343,1998,2,28.1,16.7,21.7,75.0,46.0
78343,1998,3,26.6,17.3,21.3,77.0,178.6
78343,1998,4,30.0,18.6,23.6,71.0,29.4
78343,1998,5,32.0,20.5,25.3,74.0,205.8
78343,1998,6,33.2,22.5,27.3,76.0,121.7
78343,1998,7,32.9,22.8,27.0,79.0,89.9
78343,1998,8,32.8,23.0,26.8,82.0,200.1
78343,1998,9,31.7,22.9,26.5,83.0,344.4
78343,1998,10,30.1,22.0,25.2,84.0,162.2
78343,1998,11,28.6,20.0,23.5,84.0,52.3
78343,1998,12,27.4,19.3,22.5,84.0,44.1
