Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78344,2017,1,28.5,17.2,22.4,72.0,11.7
78344,2017,2,29.6,18.5,23.6,71.0,43.9
78344,2017,3,29.2,17.9,23.1,67.0,24.4
78344,2017,4,31.5,20.3,25.9,68.0,63.4
78344,2017,5,32.2,22.1,27.1,73.0,149.9
78344,2017,6,32.5,23.3,27.7,79.0,171.2
78344,2017,7,33.5,23.1,27.4,80.0,178.9
78344,2017,8,33.5,23.3,27.5,79.0,139.7
78344,2017,9,32.0,23.1,26.8,84.0,363.5
78344,2017,10,30.3,22.0,25.5,84.0,280.1
78344,2017,11,28.8,20.5,23.9,85.0,77.9
78344,2017,12,27.6,18.2,22.4,82.0,63.9
