Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78346,1996,1,27.1,17.3,22.6,78.0,29.6
78346,1996,2,28.4,16.6,22.8,75.0,55.5
78346,1996,3,29.8,17.8,23.9,70.0,33.6
78346,1996,4,32.1,19.4,25.7,68.0,52.8
78346,1996,5,31.7,21.8,26.4,73.0,96.5
78346,1996,6,32.2,22.7,27.0,74.0,194.0
78346,1996,7,33.1,23.0,27.4,75.0,152.5
78346,1996,8,33.0,23.2,27.8,73.0,93.2
78346,1996,9,32.6,22.2,,,144.9
78346,1996,10,30.7,22.5,26.2,80.0,53.3
78346,1996,11,28.7,21.0,24.9,82.0,43.7
78346,1996,12,27.9,17.1,22.1,78.0,7.1
