Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78323,2012,1,27.4,15.6,20.9,76.0,31.8
78323,2012,2,29.2,17.6,22.8,76.0,7.6
78323,2012,3,30.0,18.4,23.4,73.0,42.6
78323,2012,4,30.3,18.9,23.9,74.0,128.8
78323,2012,5,30.6,21.6,25.2,84.0,448.5
78323,2012,6,30.9,23.0,26.3,85.0,296.6
78323,2012,7,32.8,22.6,26.6,80.0,143.1
78323,2012,8,32.7,23.3,27.0,82.0,315.5
78323,2012,9,32.5,22.3,26.2,83.0,254.3
78323,2012,10,30.3,21.4,24.8,83.0,129.9
78323,2012,11,27.3,15.7,20.9,77.0,11.1
78323,2012,12,28.4,17.1,22.2,78.0,2.7
