Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78325,1994,1,25.9,17.0,20.9,79.0,56.0
78325,1994,2,28.1,17.7,22.2,81.0,80.7
78325,1994,3,28.4,16.5,21.8,76.0,60.0
78325,1994,4,30.2,19.0,24.1,76.0,106.9
78325,1994,5,30.8,19.8,25.0,79.0,66.1
78325,1994,6,31.9,22.1,26.5,80.0,133.1
78325,1994,7,31.7,22.1,26.1,80.0,150.3
78325,1994,8,32.2,22.3,26.3,80.0,190.0
78325,1994,9,30.7,21.7,25.3,85.0,328.1
78325,1994,10,30.2,19.5,24.3,83.0,60.8
78325,1994,11,28.6,19.1,23.4,81.0,82.1
78325,1994,12,27.0,16.4,21.1,79.0,19.4
