Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78339,1999,1,26.8,22.7,23.5,78.0,4.8
78339,1999,2,25.8,20.6,22.1,70.0,30.7
78339,1999,3,26.6,20.7,23.3,67.0,29.1
78339,1999,4,28.8,22.6,26.0,69.0,138.5
78339,1999,5,29.5,22.9,26.0,74.0,151.2
78339,1999,6,31.0,24.5,26.5,80.0,326.4
78339,1999,7,31.2,25.4,27.3,78.0,128.6
78339,1999,8,32.2,24.8,27.3,79.0,251.2
78339,1999,9,31.8,24.9,27.1,82.0,241.8
78339,1999,10,29.4,24.4,26.1,83.0,219.3
78339,1999,11,26.7,23.4,23.7,84.0,150.2
78339,1999,12,25.8,20.9,22.0,77.0,3.6
