Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78343,1994,1,27.6,17.3,21.6,79.0,40.7
78343,1994,2,29.3,18.5,23.1,78.0,6.8
78343,1994,3,29.8,17.7,22.9,73.0,126.1
78343,1994,4,31.0,20.1,24.7,71.0,20.0
78343,1994,5,31.1,21.3,25.0,78.0,251.3
78343,1994,6,32.2,22.7,26.4,78.0,69.7
78343,1994,7,32.2,21.7,26.3,78.0,75.8
78343,1994,8,32.6,22.1,26.4,78.0,40.6
78343,1994,9,31.7,21.8,25.9,80.0,90.2
78343,1994,10,30.7,20.6,24.8,80.0,4.1
78343,1994,11,29.3,20.2,23.9,83.0,50.9
78343,1994,12,27.7,17.5,21.8,81.0,17.2
