Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78328,1997,1,24.9,20.4,22.4,77.0,75.3
78328,1997,2,26.8,22.4,24.3,77.0,33.5
78328,1997,3,27.8,23.0,25.1,73.0,37.0
78328,1997,4,28.6,23.3,25.6,70.0,21.3
78328,1997,5,30.5,24.4,27.5,74.0,104.8
78328,1997,6,30.4,24.5,27.5,81.0,358.0
78328,1997,7,31.8,25.3,28.8,75.0,84.6
78328,1997,8,32.3,26.0,29.3,73.0,83.9
78328,1997,9,31.3,25.7,28.3,77.0,220.5
78328,1997,10,28.9,24.6,26.7,76.0,60.5
78328,1997,11,28.2,24.1,25.8,77.0,143.6
78328,1997,12,25.9,21.6,23.4,74.0,76.7
