Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78360,2018,1,27.8,21.2,24.1,81.0,144.6
78360,2018,2,29.7,19.9,24.9,73.0,11.8
78360,2018,3,29.6,20.5,25.0,71.0,7.9
78360,2018,4,30.5,22.7,26.9,76.0,61.3
78360,2018,5,29.8,23.5,27.0,81.0,480.6
78360,2018,6,31.3,23.7,28.3,78.0,30.5
78360,2018,7,32.4,24.5,28.8,79.0,84.8
78360,2018,8,32.0,24.1,28.1,76.0,86.1
78360,2018,9,31.8,24.0,27.9,77.0,183.5
78360,2018,10,31.1,23.5,27.1,78.0,57.2
78360,2018,11,31.3,22.4,26.6,77.0,18.2
78360,2018,12,30.2,21.8,25.9,75.0,45.9
