Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78315,2013,1,28.2,17.7,22.2,77.0,2.0
78315,2013,2,28.6,17.4,22.4,75.0,29.6
78315,2013,3,26.5,15.2,20.5,71.0,148.7
78315,2013,4,30.2,20.5,24.9,74.0,74.3
78315,2013,5,31.5,20.8,25.3,73.0,128.1
78315,2013,6,31.0,22.5,26.0,81.0,552.0
78315,2013,7,31.7,22.6,26.1,81.0,302.5
78315,2013,8,32.5,22.8,26.6,81.0,165.2
78315,2013,9,33.4,22.4,26.5,86.0,109.7
78315,2013,10,31.7,22.1,25.7,83.0,105.9
78315,2013,11,29.6,20.5,24.2,82.0,44.9
78315,2013,12,29.2,19.7,23.4,84.0,55.0
