Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78315,2009,1,26.6,16.0,20.5,77.0,45.2
78315,2009,2,26.8,14.2,19.9,72.0,27.5
78315,2009,3,28.5,17.0,22.0,72.0,23.6
78315,2009,4,30.8,19.6,24.6,70.0,43.9
78315,2009,5,32.5,21.6,26.0,74.0,45.6
78315,2009,6,31.7,22.7,26.3,83.0,262.5
78315,2009,7,32.8,23.7,27.3,83.0,163.2
78315,2009,8,33.2,23.6,27.1,83.0,88.2
78315,2009,9,32.4,23.6,26.6,86.0,253.0
78315,2009,10,31.3,22.5,25.9,83.0,50.6
78315,2009,11,28.2,19.4,23.1,81.0,159.9
78315,2009,12,27.8,18.7,22.5,85.0,70.2
