Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78355,1993,1,28.1,19.2,22.8,80.0,47.7
78355,1993,2,28.2,17.5,22.0,75.0,26.2
78355,1993,3,29.2,18.5,23.0,73.0,64.6
78355,1993,4,29.6,19.4,23.7,74.0,95.5
78355,1993,5,30.0,21.2,24.7,79.0,359.9
78355,1993,6,31.7,23.0,26.7,79.0,98.3
78355,1993,7,33.2,22.7,26.9,77.0,94.2
78355,1993,8,33.5,23.1,26.9,77.0,162.4
78355,1993,9,32.2,22.7,26.2,81.0,125.6
78355,1993,10,31.8,22.5,26.0,82.0,148.8
78355,1993,11,29.4,21.5,24.7,84.0,132.4
78355,1993,12,27.6,19.5,22.9,84.0,85.1
