Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78346,1991,1,29.9,19.5,24.2,75.0,1.7
78346,1991,2,29.6,16.4,23.0,73.0,12.0
78346,1991,3,31.0,17.9,25.0,75.0,17.4
78346,1991,4,32.7,20.7,26.2,76.0,55.8
78346,1991,5,32.3,22.1,26.3,84.0,156.5
78346,1991,6,32.3,22.0,26.8,86.0,283.0
78346,1991,7,33.3,22.8,27.7,80.0,73.2
78346,1991,8,32.9,23.0,27.1,79.0,45.9
78346,1991,9,31.7,22.3,26.6,84.0,114.9
78346,1991,10,31.0,21.6,25.9,84.0,52.9
78346,1991,11,29.2,20.5,24.6,81.0,74.0
78346,1991,12,28.7,19.0,23.0,78.0,16.9
