Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78372,2006,1,28.4,18.9,23.0,75.0,12.6
78372,2006,2,28.1,19.0,22.8,76.0,17.3
78372,2006,3,30.0,19.0,23.6,69.0,0.9
78372,2006,4,30.7,20.5,24.8,71.0,51.0
78372,2006,5,32.1,21.7,26.1,74.0,222.2
78372,2006,6,31.4,22.7,26.2,82.0,271.9
78372,2006,7,32.1,23.7,27.0,79.0,189.3
78372,2006,8,32.4,23.5,27.1,80.0,134.0
78372,2006,9,33.1,23.3,27.2,80.0,112.3
78372,2006,10,31.1,22.6,26.0,83.0,157.0
78372,2006,11,28.4,21.3,24.3,85.0,161.2
78372,2006,12,28.7,21.7,24.5,84.0,112.5
