Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78325,1991,1,27.9,18.4,22.4,81.0,136.0
78325,1991,2,26.9,14.9,20.6,75.0,4.3
78325,1991,3,29.1,18.0,22.8,75.0,70.9
78325,1991,4,30.9,20.7,24.9,75.0,205.5
78325,1991,5,30.3,21.9,25.2,81.0,331.0
78325,1991,6,31.1,21.6,25.4,84.0,318.9
78325,1991,7,32.1,22.0,26.4,81.0,128.7
78325,1991,8,32.0,21.7,25.9,82.0,285.8
78325,1991,9,31.1,21.5,25.4,84.0,329.0
78325,1991,10,29.2,21.3,24.6,84.0,96.2
78325,1991,11,26.8,18.5,22.2,81.0,81.8
78325,1991,12,26.5,17.5,21.4,78.0,15.3
