Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78315,1999,1,27.0,17.4,21.6,80.0,60.6
78315,1999,2,27.5,16.2,21.2,74.0,120.7
78315,1999,3,28.9,17.2,22.6,71.0,30.2
78315,1999,4,31.9,20.5,25.6,71.0,11.5
78315,1999,5,32.4,21.7,26.2,74.0,158.3
78315,1999,6,30.5,23.0,25.9,85.0,298.4
78315,1999,7,32.1,23.3,26.9,82.0,98.0
78315,1999,8,32.3,23.6,26.7,84.0,137.2
78315,1999,9,31.1,23.5,26.4,86.0,344.1
78315,1999,10,29.7,22.1,25.3,85.0,157.8
78315,1999,11,27.6,19.3,22.9,80.0,62.4
78315,1999,12,27.2,17.2,21.5,78.0,0.2
