Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78321,2008,1,27.2,18.3,22.2,79.0,44.4
78321,2008,2,28.9,19.3,23.3,81.0,87.8
78321,2008,3,28.9,20.0,23.9,76.0,85.5
78321,2008,4,29.9,20.6,24.8,72.0,34.9
78321,2008,5,32.4,22.2,27.0,72.0,39.5
78321,2008,6,31.3,23.1,27.1,80.0,166.3
78321,2008,7,32.0,23.5,27.4,80.0,151.8
78321,2008,8,32.2,23.7,27.6,80.0,421.8
78321,2008,9,,,,,229.2
78321,2008,10,29.2,22.8,25.7,81.0,202.7
78321,2008,11,26.8,19.5,22.9,77.0,34.2
78321,2008,12,26.4,19.0,22.4,80.0,9.7
