Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78318,2022,1,26.9,17.6,22.4,75.0,80.1
78318,2022,2,28.0,19.6,23.7,78.0,59.4
78318,2022,3,30.0,20.4,24.9,72.0,29.9
78318,2022,4,30.6,22.0,26.0,73.0,61.3
78318,2022,5,31.0,22.8,26.5,79.0,72.7
78318,2022,6,31.3,23.9,27.3,80.0,290.7
78318,2022,7,33.1,24.9,28.5,77.0,85.3
78318,2022,8,33.1,24.4,28.0,81.0,226.1
78318,2022,9,32.6,24.1,27.6,81.0,261.0
78318,2022,10,30.7,21.7,26.0,77.0,140.8
78318,2022,11,30.8,22.7,26.3,82.0,53.2
78318,2022,12,28.3,20.3,23.9,80.0,102.0
