Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78369,2017,1,28.0,21.4,24.7,73.0,29.9
78369,2017,2,29.1,22.4,25.4,74.0,26.6
78369,2017,3,30.5,20.0,25.2,75.0,124.3
78369,2017,4,31.1,20.4,25.9,78.0,53.3
78369,2017,5,31.5,21.3,26.9,79.0,102.6
78369,2017,6,31.7,26.5,28.7,74.0,1.0
78369,2017,7,32.3,26.8,29.0,74.0,14.6
78369,2017,8,32.7,27.3,29.4,74.0,62.2
78369,2017,9,31.8,25.4,28.4,78.0,224.7
78369,2017,10,31.2,22.9,27.7,78.0,35.2
78369,2017,11,29.3,23.9,26.5,82.0,417.4
78369,2017,12,28.9,23.9,26.6,75.0,34.6
