Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78357,2014,1,29.6,20.4,24.1,74.0,59.9
78357,2014,2,30.6,20.8,24.8,75.0,17.8
78357,2014,3,31.2,20.4,24.8,69.0,39.0
78357,2014,4,32.1,21.4,25.7,72.0,240.4
78357,2014,5,31.2,21.9,25.5,77.0,77.8
78357,2014,6,31.7,22.5,26.2,80.0,125.8
78357,2014,7,33.3,23.1,27.4,77.0,164.0
78357,2014,8,33.6,23.2,27.3,78.0,129.7
78357,2014,9,32.2,22.6,26.3,82.0,186.1
78357,2014,10,31.4,22.7,26.0,80.0,179.0
78357,2014,11,29.9,21.3,24.9,75.0,16.0
78357,2014,12,28.9,20.1,23.7,75.0,3.4
