Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78323,2019,1,27.4,15.1,21.0,77.0,23.4
78323,2019,2,30.0,17.6,23.3,76.0,40.3
78323,2019,3,30.1,16.8,23.0,73.0,83.3
78323,2019,4,31.3,19.4,24.7,75.0,144.8
78323,2019,5,32.3,21.3,26.1,78.0,225.8
78323,2019,6,33.4,23.0,27.4,79.0,201.0
78323,2019,7,33.7,22.6,26.9,80.0,148.3
78323,2019,8,33.6,22.6,26.8,81.0,244.0
78323,2019,9,33.0,22.4,26.8,80.0,30.4
78323,2019,10,32.0,22.5,26.2,84.0,194.5
78323,2019,11,30.0,17.8,23.4,80.0,19.4
78323,2019,12,29.3,16.6,22.4,81.0,9.6
