Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78318,2006,1,26.4,18.5,22.0,76.0,4.5
78318,2006,2,26.4,17.7,21.7,72.0,59.9
78318,2006,3,27.9,18.8,23.1,71.0,1.7
78318,2006,4,29.6,20.4,24.6,75.0,75.8
78318,2006,5,29.9,21.7,25.6,78.0,304.0
78318,2006,6,31.2,23.9,27.1,82.0,194.9
78318,2006,7,32.3,24.3,27.7,81.0,162.9
78318,2006,8,32.1,24.5,27.6,82.0,76.3
78318,2006,9,32.2,23.9,27.5,83.0,150.0
78318,2006,10,31.0,23.4,26.7,82.0,147.3
78318,2006,11,27.4,20.2,23.5,79.0,189.9
78318,2006,12,27.9,21.7,24.2,84.0,87.9
