Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78343,2017,1,27.8,16.9,21.7,78.0,21.7
78343,2017,2,28.4,17.7,22.3,81.0,38.0
78343,2017,3,27.8,17.0,21.8,77.0,19.1
78343,2017,4,30.0,19.6,24.0,79.0,91.0
78343,2017,5,32.4,21.0,25.5,78.0,77.1
78343,2017,6,33.0,22.5,26.5,82.0,160.8
78343,2017,7,33.5,22.5,26.5,83.0,140.9
78343,2017,8,33.7,22.5,26.6,84.0,204.6
78343,2017,9,32.0,22.4,26.0,87.0,294.4
78343,2017,10,29.6,21.3,24.5,88.0,232.2
78343,2017,11,27.6,19.9,22.9,89.0,122.8
78343,2017,12,26.6,17.5,21.3,87.0,46.3
