Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78321,2013,1,27.5,19.5,23.4,79.0,6.4
78321,2013,2,27.9,18.9,23.2,77.0,28.5
78321,2013,3,25.9,17.0,21.3,71.0,151.3
78321,2013,4,29.5,21.7,25.3,77.0,91.9
78321,2013,5,30.5,22.4,26.2,75.0,111.3
78321,2013,6,31.3,23.5,26.8,83.0,490.7
78321,2013,7,31.1,23.8,26.9,82.0,150.9
78321,2013,8,31.5,24.2,27.4,81.0,90.4
78321,2013,9,30.7,23.7,26.4,86.0,316.5
78321,2013,10,30.5,23.6,26.3,82.0,161.9
78321,2013,11,29.0,22.5,25.2,81.0,25.9
78321,2013,12,28.8,21.1,24.5,82.0,3.5
