Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78371,1990,1,26.2,15.4,19.9,80.0,35.3
78371,1990,2,26.0,14.8,19.6,78.0,45.4
78371,1990,3,25.9,15.4,19.8,79.0,89.4
78371,1990,4,26.4,16.7,20.8,79.0,87.4
78371,1990,5,28.0,17.9,22.2,80.0,175.4
78371,1990,6,28.9,18.6,22.8,80.0,231.5
78371,1990,7,29.1,18.7,23.1,80.0,75.3
78371,1990,8,29.9,18.4,23.2,80.0,147.8
78371,1990,9,28.8,18.6,22.9,86.0,243.7
78371,1990,10,26.9,19.2,22.3,86.0,288.0
78371,1990,11,26.0,18.1,21.2,81.0,38.9
78371,1990,12,24.4,16.1,19.7,81.0,43.0
