Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78355,2017,1,28.4,18.2,22.5,73.0,12.1
78355,2017,2,30.0,19.3,23.7,74.0,28.9
78355,2017,3,28.4,18.7,22.9,74.0,23.9
78355,2017,4,31.0,20.6,24.8,74.0,95.8
78355,2017,5,31.6,21.3,25.8,76.0,139.5
78355,2017,6,33.0,22.8,26.9,77.0,233.4
78355,2017,7,33.6,23.5,27.4,78.0,137.4
78355,2017,8,33.3,23.4,27.4,78.0,163.0
78355,2017,9,32.6,23.6,27.2,81.0,384.3
78355,2017,10,30.8,22.7,26.1,83.0,170.1
78355,2017,11,28.2,21.6,24.3,88.0,128.7
78355,2017,12,27.6,19.9,23.2,82.0,37.9
