Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78320,1990,1,29.4,18.7,23.3,77.0,79.7
78320,1990,2,29.4,18.4,23.1,72.0,34.5
78320,1990,3,29.9,18.2,23.3,71.0,93.4
78320,1990,4,31.0,18.5,23.9,73.0,22.8
78320,1990,5,32.4,21.7,26.3,75.0,341.7
78320,1990,6,32.5,22.1,26.6,77.0,97.3
78320,1990,7,32.7,22.2,26.6,79.0,109.5
78320,1990,8,33.6,22.4,26.9,79.0,184.5
78320,1990,9,32.8,22.6,26.4,82.0,171.4
78320,1990,10,31.0,21.2,25.5,78.0,90.8
78320,1990,11,29.0,19.2,23.5,76.0,59.5
78320,1990,12,28.1,18.7,22.8,77.0,14.5
