Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78371,2008,1,24.9,13.4,18.6,80.0,61.2
78371,2008,2,26.6,13.2,19.4,76.0,60.7
78371,2008,3,26.4,13.9,19.7,78.0,108.1
78371,2008,4,26.7,14.6,20.3,80.0,120.5
78371,2008,5,28.0,16.7,21.7,82.0,221.6
78371,2008,6,28.5,17.7,22.5,81.0,162.9
78371,2008,7,29.6,17.5,23.1,79.0,159.5
78371,2008,8,28.9,18.4,23.2,82.0,210.3
78371,2008,9,28.2,19.0,22.7,87.0,484.1
78371,2008,10,27.5,18.1,22.1,86.0,212.1
78371,2008,11,24.5,16.6,20.2,87.0,284.2
78371,2008,12,24.3,15.7,19.6,85.0,77.4
