Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78339,2016,1,26.5,20.6,23.5,78.0,153.3
78339,2016,2,25.3,20.5,22.8,73.0,24.9
78339,2016,3,28.0,23.0,25.0,75.0,9.7
78339,2016,4,29.1,23.4,25.9,70.0,20.2
78339,2016,5,30.7,24.6,27.6,72.0,34.0
78339,2016,6,32.2,25.3,28.7,77.0,95.8
78339,2016,7,32.2,27.0,29.7,72.0,59.0
78339,2016,8,32.0,27.0,29.3,74.0,93.7
78339,2016,9,,,,,
78339,2016,10,,,,,
78339,2016,11,,,,,
78339,2016,12,28.3,24.2,,,
