Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78321,2002,1,27.0,18.3,22.4,79.0,34.3
78321,2002,2,27.9,19.0,23.1,74.0,36.3
78321,2002,3,29.4,20.3,24.5,75.0,46.7
78321,2002,4,30.5,22.1,25.9,67.0,6.2
78321,2002,5,31.4,23.7,27.3,71.0,132.1
78321,2002,6,30.6,23.7,26.8,82.0,356.4
78321,2002,7,32.0,23.8,27.7,78.0,245.4
78321,2002,8,31.7,23.5,27.1,79.0,184.6
78321,2002,9,30.6,23.7,26.9,83.0,937.3
78321,2002,10,30.5,23.0,26.5,81.0,146.0
78321,2002,11,28.8,21.3,24.6,77.0,21.2
78321,2002,12,27.5,19.9,23.2,76.0,49.6
