Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78368,2020,1,30.7,18.9,24.3,73.0,3.2
78368,2020,2,32.3,19.2,25.1,70.0,6.6
78368,2020,3,31.8,19.4,25.2,65.0,36.5
78368,2020,4,34.1,21.5,27.5,66.0,21.2
78368,2020,5,33.7,23.1,27.7,74.0,80.6
78368,2020,6,35.2,23.0,28.5,70.0,51.3
78368,2020,7,34.1,23.5,27.8,76.0,176.6
78368,2020,8,34.4,23.6,28.4,74.0,173.0
78368,2020,9,33.5,23.2,27.5,78.0,82.1
78368,2020,10,33.6,23.2,27.5,77.0,81.3
78368,2020,11,30.8,22.0,25.6,81.0,218.0
78368,2020,12,30.5,19.5,24.4,76.0,27.3
