Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78333,1991,1,28.9,19.2,23.8,79.0,14.1
78333,1991,2,28.2,15.6,21.8,70.0,0.0
78333,1991,3,29.0,18.8,24.1,73.0,23.8
78333,1991,4,30.3,20.9,25.5,76.0,14.6
78333,1991,5,30.6,22.3,26.4,76.0,298.3
78333,1991,6,31.3,22.7,26.7,80.0,35.4
78333,1991,7,32.0,22.5,27.0,78.0,95.3
78333,1991,8,32.0,22.5,26.9,78.0,85.8
78333,1991,9,31.1,22.4,26.2,83.0,296.5
78333,1991,10,30.1,22.1,25.6,84.0,154.1
78333,1991,11,28.6,19.4,23.2,82.0,3.5
78333,1991,12,28.5,18.2,22.5,77.0,9.1
