Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78339,2021,1,27.0,20.9,23.9,75.0,9.4
78339,2021,2,28.2,22.5,25.2,76.0,11.8
78339,2021,3,28.1,22.9,25.2,71.0,1.6
78339,2021,4,30.0,23.3,26.3,71.0,1.4
78339,2021,5,30.1,24.5,27.3,75.0,161.9
78339,2021,6,31.0,25.2,28.1,77.0,59.4
78339,2021,7,31.9,26.0,29.1,76.0,43.7
78339,2021,8,32.3,26.3,29.4,75.0,50.2
78339,2021,9,32.3,25.1,28.8,75.0,82.3
78339,2021,10,31.1,24.7,27.7,79.0,168.5
78339,2021,11,28.4,24.2,26.2,73.0,99.7
78339,2021,12,28.2,23.8,25.8,75.0,28.1
