Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78360,2006,1,28.7,20.2,24.4,74.0,6.8
78360,2006,2,28.1,20.3,24.1,77.0,149.2
78360,2006,3,28.8,20.5,24.7,73.0,1.5
78360,2006,4,29.9,21.9,25.9,74.0,21.5
78360,2006,5,30.4,22.2,27.2,75.0,49.4
78360,2006,6,30.6,24.0,27.8,79.0,178.5
78360,2006,7,31.5,24.2,28.3,76.0,62.4
78360,2006,8,31.9,24.6,28.4,79.0,98.6
78360,2006,9,32.1,24.8,28.4,79.0,33.0
78360,2006,10,31.9,24.2,27.8,81.0,77.7
78360,2006,11,29.3,22.7,25.8,82.0,74.0
78360,2006,12,29.7,22.1,25.7,82.0,63.7
