Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78372,1998,1,29.4,20.6,24.0,77.0,23.0
78372,1998,2,29.8,18.4,23.2,72.0,55.4
78372,1998,3,28.6,20.7,23.7,76.0,92.8
78372,1998,4,31.1,21.0,25.1,71.0,1.0
78372,1998,5,33.1,21.9,26.5,76.0,123.3
78372,1998,6,34.0,24.0,28.0,78.0,85.7
78372,1998,7,34.5,24.3,28.3,80.0,166.9
78372,1998,8,34.0,24.0,27.8,79.0,320.7
78372,1998,9,32.2,23.4,26.8,83.0,345.1
78372,1998,10,31.7,23.2,26.4,81.0,80.3
78372,1998,11,30.2,22.0,25.1,83.0,89.2
78372,1998,12,29.0,21.1,24.1,82.0,40.8
