Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78343,2001,1,24.9,12.7,18.6,77.0,45.7
78343,2001,2,28.5,18.7,22.9,81.0,59.9
78343,2001,3,30.4,16.8,23.1,70.0,17.7
78343,2001,4,31.1,18.1,24.3,72.0,84.2
78343,2001,5,29.6,18.7,24.2,77.0,164.5
78343,2001,6,33.0,20.7,26.8,76.0,63.4
78343,2001,7,33.4,21.6,26.8,76.0,82.1
78343,2001,8,33.2,22.0,27.0,80.0,179.9
78343,2001,9,32.7,20.9,25.9,83.0,324.0
78343,2001,10,30.2,21.2,25.3,84.0,100.1
78343,2001,11,27.0,16.3,21.6,84.0,105.2
78343,2001,12,27.4,18.2,22.5,84.0,68.2
