Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78372,2019,1,29.4,20.2,24.1,76.0,44.7
78372,2019,2,30.6,20.5,24.8,73.0,21.4
78372,2019,3,31.2,21.0,25.1,71.0,36.8
78372,2019,4,32.3,22.1,26.4,69.0,30.7
78372,2019,5,32.7,23.2,26.8,75.0,127.7
78372,2019,6,33.7,24.0,28.1,75.0,101.7
78372,2019,7,35.0,23.8,28.7,71.0,34.9
78372,2019,8,34.8,23.2,28.1,75.0,110.5
78372,2019,9,32.7,22.8,27.2,81.0,318.2
78372,2019,10,32.3,23.2,27.0,79.0,205.5
78372,2019,11,30.2,21.7,25.2,78.0,104.0
78372,2019,12,29.9,20.9,24.8,78.0,9.0
