Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78310,2018,1,24.9,19.1,22.1,76.0,67.5
78310,2018,2,28.5,20.6,24.3,80.0,0.5
78310,2018,3,27.4,20.1,23.9,76.0,59.2
78310,2018,4,29.2,22.1,25.7,80.0,55.4
78310,2018,5,28.6,22.8,25.8,85.0,413.7
78310,2018,6,30.2,23.7,26.9,85.0,111.2
78310,2018,7,31.4,24.6,28.1,80.0,97.9
78310,2018,8,31.3,23.8,27.4,82.0,293.9
78310,2018,9,30.6,24.1,27.0,85.0,198.6
78310,2018,10,30.0,24.2,27.0,80.0,276.5
78310,2018,11,28.7,22.3,25.6,79.0,65.7
78310,2018,12,27.5,21.9,24.8,73.0,37.9
