Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78365,2001,1,25.8,21.3,24.0,79.0,16.5
78365,2001,2,27.4,23.5,25.5,79.0,33.4
78365,2001,3,27.7,21.6,25.1,80.0,60.5
78365,2001,4,28.4,23.5,26.0,78.0,74.8
78365,2001,5,28.9,23.7,26.2,82.0,317.6
78365,2001,6,30.5,26.0,28.1,81.0,198.8
78365,2001,7,31.0,25.9,28.4,81.0,151.8
78365,2001,8,31.3,26.0,28.6,81.0,192.1
78365,2001,9,31.7,24.8,28.3,78.0,302.9
78365,2001,10,30.0,25.4,27.9,81.0,256.0
78365,2001,11,27.9,23.9,25.9,75.0,188.2
78365,2001,12,27.2,24.1,25.7,81.0,72.6
