Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78364,2011,1,30.1,20.9,24.7,71.0,29.1
78364,2011,2,31.3,21.0,25.4,64.0,0.6
78364,2011,3,31.1,20.7,25.3,64.0,20.7
78364,2011,4,32.4,22.9,27.1,71.0,52.0
78364,2011,5,32.5,22.7,27.1,73.0,112.8
78364,2011,6,32.6,24.5,28.2,74.0,342.5
78364,2011,7,33.5,24.4,28.3,72.0,126.6
78364,2011,8,33.9,24.8,28.8,72.0,157.8
78364,2011,9,34.1,25.0,28.9,69.0,35.0
78364,2011,10,32.2,24.2,27.4,76.0,116.2
78364,2011,11,32.5,22.6,26.4,67.0,46.5
78364,2011,12,31.2,21.5,25.4,68.0,25.4
