Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78321,2006,1,,18.0,21.8,79.0,20.6
78321,2006,2,26.7,17.2,21.6,76.0,27.5
78321,2006,3,28.9,18.5,23.2,69.0,12.8
78321,2006,4,30.9,20.6,25.1,70.0,70.7
78321,2006,5,31.7,22.1,26.3,73.0,49.2
78321,2006,6,31.2,23.6,26.9,84.0,609.8
78321,2006,7,31.9,24.1,27.4,82.0,200.9
78321,2006,8,32.1,24.1,27.4,83.0,108.0
78321,2006,9,32.3,23.7,27.1,84.0,209.5
78321,2006,10,30.7,23.6,26.6,82.0,109.6
78321,2006,11,27.8,20.2,23.5,81.0,36.4
78321,2006,12,28.0,21.6,24.1,85.0,69.6
