Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78315,2019,1,26.9,15.9,21.2,81.0,69.4
78315,2019,2,29.1,17.7,23.2,80.0,17.6
78315,2019,3,29.6,17.5,23.3,74.0,52.9
78315,2019,4,31.9,19.5,25.4,71.0,25.5
78315,2019,5,32.7,22.8,27.2,74.0,70.3
78315,2019,6,34.3,24.1,28.2,75.0,62.2
78315,2019,7,33.0,23.4,27.1,82.0,136.3
78315,2019,8,32.6,23.5,27.0,83.0,225.2
78315,2019,9,32.6,23.1,27.0,83.0,129.4
78315,2019,10,31.4,22.8,26.4,86.0,166.9
78315,2019,11,29.9,19.0,24.1,80.0,30.0
78315,2019,12,28.6,18.0,22.8,83.0,69.3
