Estación,Año,Mes,Media de temperatura máxima,Media de temperatura mínima,Media de temperatura,Media de humedad relativa,Precipitación mensual
78371,2015,1,23.9,15.8,20.6,75.0,4.7
78371,2015,2,23.9,14.1,19.9,74.0,53.9
78371,2015,3,27.2,16.9,21.5,70.0,55.3
78371,2015,4,28.0,18.3,22.6,72.0,104.0
78371,2015,5,27.1,18.1,22.1,79.0,189.4
78371,2015,6,26.9,19.5,23.0,82.0,138.7
78371,2015,7,28.6,20.0,23.6,79.0,138.3
78371,2015,8,29.6,18.6,23.7,82.0,227.5
78371,2015,9,29.4,18.9,23.6,84.0,250.7
78371,2015,10,27.8,18.9,22.8,86.0,168.4
78371,2015,11,26.7,17.9,22.0,84.0,108.2
78371,2015,12,26.9,16.2,21.2,81.0,20.6
